park,year,total_sq_kilometers,country,state_region_province,closest_city,distance_from_closest_city
Kenai Fjords,1980,2710,United States,Alaska,Anchorage,201
Kings Canyon,1940,1869,United States,California,Fresno,85
Kobuk Valley,1980,7085,United States,Alaska,Anchorage,814
Lake Clark,1980,10602,United States,Alaska,Anchorage,196
Lassen Volcanic,1916,431,United States,California,Sacramento,309
Mammoth Cave,1941,219,United States,Kentucky,Nashville,143
Mesa Verde,1906,212,United States,Colorado,Albuquerque,396
Mount Ranier,1899,957,United States,Washington,Tacoma,95
New River Gorge,2020,28,United States,West Virginia,Greensboro,309
North Cascades,1968,2043,United States,Washington,Abbotsford,143
Olympic,1938,3734,United States,Washington,Seattle,177
Petrified Forest,1962,896,United States,Arizona,Phoenix,325
Pinnacles,2013,108,United States,California,San Jose,122
Redwood,1968,563,United States,California,Eugene,340
Rocky Mountain,1915,1976,United States,Colorado,Boulder,61
Saguaro,1994,376,United States,Arizona,Tucson,21
Sequoia,1890,1365,United States,California,Fresno,117
Shenandoah,1935,810,United States,Virginia,Washington DC,114
Theodore Roosevelt,1978,285,United States,North Dakota,Regina,483
Voyageurs,1975,883,United States,Minnesota,Winnipeg,391
White Sands,2019,592,United States,New Mexico,El Paso ,154
Wind Cave,1903,138,United States,South Dakota,Fort Collins,460
Wrangell-St Elias,1980,33683,United States,Alaska,Anchorage,399
Yellowstone,1872,8983,United States,"Wyoming, Montana, Idaho",Salt Lake City,576
Yosemite,1890,3083,United States,California,Fresno,100
Zion,1919,596,United States,Utah,Las Vegas,269
Akami-Uapishk KakKasuak-Mealy Mountains,2015,"10,700",Canada,Newfoundland and Labrador,Quebec City,1215
Aulavik,1992,"12,200",Canada,Northwest Territories,Anchorage,1857
Auyuittuq,2001,"19,089",Canada,Nunavut,Quebec City,2334
Banff,1885,"6,641",Canada,Alberta,Calgary,109
Bruce Peninsula,1987,125,Canada,Ontario,Barrie,202
Cape Breton Island,1936,948,Canada,Nova Scotia,Halifax,443
Elk Island,1913,194,Canada,Alberta,Edmonton,48
Forillon,1970,240,Canada,Quebec,Quebec City,726
Georgian Bay Islands,1930,14,Canada,Ontario,Barrie,70
Glacier,1886,"1,349",Canada,British Columbia,Calgary,317
Grasslands,1981,730,Canada,Saskatchewan,Regina,340
Gros Morne,2005,"1,805",Canada,Newfoundland and Labrador,St John's,666
Gulf Islands,2003,37,Canada,British Columbia,Vancouver,80
Gwaii Hanaas,1988,"1,474",Canada,British Columbia,Vancover,689
Ivaavik,1984,"9,750",Canada,Yukon,Anchorage,991
Jasper,1907,"11,228",Canada,Alberta,Calgary,304
Kejimkujik,1967,404,Canada,Nova Scotia,Halifax,167
Kluane,1993,"5,900",Canada,Yukon,Anchorage,1042
Kootenay,1920,"1,406",Canada,Alberta,Calgary,165
Kouchibouguac,1969,239,Canada,New Brunswick,Halifax,341
La Mauricie,1970,536,Canada,Quebec,Tros-Rivieres,58
Mingan Archipelago ,1984,151,Canada,Quebec,Quebec City,854
Mount Revelstoke,1914,252,Canada,British Columbia,Calgary,407
Naats'ihch'oh,2014,"4,850",Canada,Northwest Territories,Anchorage,1121
Nahanni,1974,"30,000",Canada,Northwest Territories,Edmonton,1844
Pacific Rim,1970,510,Canada,British Columbia,Victoria,193
Point Pelee,1918,15,Canada,Ontario,Windsor,61
Prince Albert,1927,"3,875",Canada,Saskatchewan,Saskatoon,227
Prince Edward Island,1937,27,Canada,Prince Edward Island,Halifax,326
Pukaskwa,1971,"1,878",Canada,Ontario,Thunder Bay,321
Qausuittuq,2015,"11,008",Canada,Nunavut,Saskatoon,2664
Riding Mountain,1933,"2,968",Canada,Manitoba,Winnipeg,267
Rouge,2015,79,Canada,Ontario,Toronto,34
Sable Island,2013,30,Canada,Nova Scotia,Halifax,302
Sirmilik,2001,"20,200",Canada,Nunavut,Winnipeg,2711
Terra Nova,1957,399,Canada,Newfoundland and Labrador,St John's,223
Thaidene Nene,2019,"14,305",Canada,Nunavut,Edmonton,1308
Thousand Islands,1904,24,Canada,Ontario,Kingston,65
Torngat Mountains,2008,"9,700",Canada,Newfoundland and Labrador,Quebec City,1459
Tuktut Nogait,1998,"18,181",Canada,Northwest Territories,Edmonton,1750
Ukkusiksalik,2003,"20,880",Canada,Nunavut,Saskatoon,1829
Vuntut,1993,"4,345",Canada,Yukon,Anchorage,925
Wapusk,1996,"11,475",Canada,Manitoba,Winnipeg,914
Waterton Lakes,1895,505,Canada,Alberta,Calgary,260
Wood Buffalo,1922,"44,972",Canada,"Alberta, Northwest Territories",Edmonton,1141
Yoho,1886,"1,313",Canada,Alberta,Calgary,224
Abel Tasman,1942,237,New Zealand,South Island,Christchurch,433
Aoraki/Mount Cook,1953,722,New Zealand,South Island,Dunedin,309
Arthur's Pass,1929,"1,185",New Zealand,South Island,Christchurch,136
Egmont,1900,342,New Zealand,North Island,Hamilton,253
Fiordland,1952,"12,607",New Zealand,South Island,Dunedin,331
Kahurangi,1996,"4,529",New Zealand,South Island,Christchurch,395
Mount Aspiring,1964,"3,562",New Zealand,South Island,Dunedin,327
Nelson Lakes,1956,"1,019",New Zealand,South Island,Christchurch,348
Paparoa,1987,430,New Zealand,South Island,Christchurch,287
Rakiura,2002,"1,400",New Zealand,Stewart Island,Dunedin,239
Tongariro,1887,786,New Zealand,North Island,Hamilton,210
Westland Tai Poutini,1960,"1,320",New Zealand,South Island,Christchurch,363
Whanganui,1986,742,New Zealand,North Island,Hamilton,260
Addo Elephant,1931,1642,South Africa,Eastern Cape,Kariega,56
Agulhas,1998,210,South Africa,Western Cape,Cape Town,223
Richtersveld,1991,"1,624",South Africa,Northern Cape,Windhoek,748
Augrabies Falls,1966,820,South Africa,Northern Cape,Kimberley,519
Bontebok,1931,28,South Africa,Western Cape,George,212
